x_label;factor
108;3501678.476233201
109;3396585.471421442
110;3312787.5071810572
111;3279677.5034071887
112;3183840.338473184
113;3202848.638673108
114;3060186.620245318
115;2953995.560086687
116;2886484.004025332
117;2894142.0297240512
118;2880301.687849914
119;2902664.362828372
120;2787003.2542054066
121;2733581.5526033747
122;2654701.115756815
123;2590076.890668386
124;2678728.3848933834
125;2571217.037677921
126;2522636.4093748783
127;2468790.9139246107
128;2423991.262284194
129;2365196.75066635
130;2336616.9125441173
131;2286844.4420206095
132;2264270.994063499
133;2205153.28795898
134;2130076.339194828
135;2131554.2619749815
136;2022026.827995701
137;2065424.091325085
138;2067151.4467960973
139;2007228.6812748176
140;2021087.5791634594
141;1919169.9381685257
142;1931132.4400927231
143;1907637.465667454
144;1859105.8058463556
145;1787108.9147680965
146;1768290.0642704887
147;1773583.6794416073
148;1762847.4881886449
149;1750234.7765790508
150;1662623.3154737558
151;1670095.284054382
152;1623580.97777773
153;1559617.8117704615
154;1576194.3839210146
155;1544240.6821943077
156;1529011.8302627516
157;1527786.7365902567
158;1527545.9414889119
159;1493348.3691805806
160;1494917.1325124558
161;1442169.463395189
162;1367716.7046066965
163;1317015.7333068487
164;1291769.6188296755
165;1315908.5491079339
166;1323260.5841630267
167;1247845.668626119
168;1295927.6962028544
169;1303660.80950298
170;1219849.4036339738
171;1328677.1028129458
172;1283591.8548231402
173;1289757.0449680719
174;1320779.4758919636
175;1295464.7849659799
176;1254981.1491127987
177;1271562.2673548476
178;1278030.1111401296
179;1230793.5900740824
180;1165691.4007171274
181;1141705.4970193047
182;1112662.6402505625
183;1120576.3349526855
184;1085619.9084480046
185;1065496.6683071565
186;1106960.407680651
187;1031680.7450030412
188;1022389.4513576722
189;1124793.9013239946
190;1024405.7859159434
191;1003125.9903935449
192;988462.4902334966
193;977819.5253231917
194;978224.221126398
195;900669.7503686394
196;831490.6468411428
197;816399.1162217894
198;833995.2968831894
199;811881.6482223733
200;797145.9328926356
201;832754.460112143
202;783783.0069823014
203;853753.4258507543
204;809674.9252689187
205;794612.5447883471
206;789124.9643957689
207;756061.561331533
208;746796.068097439
209;761885.5582776767
210;723668.4034176553
211;778733.8650641902
212;725376.3654725426
213;727913.4898354242
214;712103.0725746374
215;793522.2030125891
216;781089.25028958
217;743878.2736688737
218;710736.1893955123
219;689236.964946727
220;698726.592892428
221;715059.2099109548
222;675228.4173498657
223;713198.6360115247
224;705543.1282305907
225;664085.419570975
226;674808.1471579568
227;642431.9773749473
228;653180.5814781622
229;656457.6886551394
230;658383.3975713144
231;608401.0757953834
232;643307.8182922251
233;613179.9047862544
234;642592.1348474203
235;666016.8220599078
236;651911.1214921955
237;636752.7866031771
238;604732.1902844509
239;592409.3553314742
240;598796.9675656374
241;594924.3167412317
242;615144.0048660061
243;628770.6052729104
244;599716.3520528248
245;625312.0417578049
246;489459.4225780461
247;485878.38689256826
248;491158.4516110041
249;471523.70479051006
250;516620.31027753255
251;448174.7315289223
252;437305.2481499781
253;427659.0252446601
254;436606.90986081614
255;486025.40187592775
256;463839.6077829127
257;425465.61736254336
258;419874.0912444805
259;393041.88696017954
260;405106.32060292055
261;423312.8320569098
262;386939.45639205526
263;391310.2898226517
264;386191.36249052227
265;390290.9532760161
266;393242.46504032076
267;387849.64789480995
268;378997.89996965666
269;379905.81460599555
270;371736.23207213613
271;375458.48703212413
272;389285.3279033049
273;394804.0561844404
274;353300.4257884159
275;341960.5890826498
276;342620.0861768593
277;338531.91910326143
278;341677.0332217186
279;298511.873571294
280;276387.9181630607
281;268766.85098521
282;264032.5099534146
283;288873.65384365554
284;284273.3127471496
285;271517.95459148166
286;270983.2492748153
287;316277.07549213665
288;327701.52795232576
289;315700.3030661154
290;320995.21576280915
291;296636.7141151964
292;308856.3487572366
293;322743.30476377526
294;312984.5910644371
295;311005.1787983333
296;323696.1301393122
297;353916.604319923
298;348273.3226580626
299;352612.5765075302
300;340052.2536292108
301;351039.2459127433
302;335231.31640208507
303;324515.21092736634
304;331193.3857598942
305;331498.24635978247
306;360588.29849272233
307;353410.39962655323
308;352805.6131205678
309;349345.1801999947
310;357932.9896337881
311;312253.4759180345
312;292679.5037427624
313;275394.3876897825
314;324202.77573514293
315;318857.9252652021
316;302653.2145079099
317;328581.6641637185
318;274564.66391047527
319;271813.7829101052
320;301310.9725460975
321;307161.55431662715
322;307026.44736133935
323;298773.8469829539
324;277663.1978282928
325;270799.8135752537
326;240551.35057426922
327;239860.341937707
328;255379.6202935183
329;253633.09518512542
330;243928.35741496057
331;246775.68505898627
